"id","screens_id","selection","hideflg","seqno","rowpos","colpos","width","type","dataprecision","datascale","indisp","subindisp","editable","maxvalue","minvalue","edoptsize","edoptmaxlength","edoptrow","edoptcols","edoptvalue","sumkey","crtfield","expiredate","remark","persons_id_upd","update_ip","created_at","updated_at","pobjects_id_sfd","tblfields_id","paragraph","formatter","contents"
160852,164,0,0,9999,,,0,"number",7,2,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13940,11894,,,
160875,164,1,0,9999,,,0,"number",7,2,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2655,2062,,,
160819,164,0,0,9999,,,120,"varchar",0,0,0,0,0,0,0,20,20,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,630,4922,,,
160866,164,1,0,9999,,,12,"number",0,0,0,0,0,0,0,2,2,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,14888,522,,,
160882,164,0,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,5851,2025,,,
216077,164,1,0,0,0,0,300,"varchar",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms shelfno_name",0,,2019/07/14,2019/07/14,10037,9075,"",,
160835,164,1,0,9999,,,6,"char",0,0,0,0,0,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,10125,8762,,,
160913,164,1,0,9999,,,85,"varchar",0,0,0,0,0,0,0,100,100,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,6446,5752,,,
27892,164,1,0,152,15,2,150,"varchar",0,0,0,0,2,0,0,10,50,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/06/25 3:15:18.996,2015/12/01 21:58:06,530,4915,,,
160824,164,1,0,9999,,,0,"number",5,2,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,6742,6420,,,
160864,164,1,0,9999,,,6,"char",0,0,0,0,0,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,14887,461,,,
160775,164,1,0,9999,,,132,"number",0,6,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:10,2016/03/27 17:38:10,883,5033,,,
216079,164,1,0,0,0,0,300,"varchar",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms unit_name_case_pur",0,,2019/07/14,2019/07/14,9105,2027,"",,
145427,164,1,0,602,60,2,150,"varchar",0,0,0,0,2,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2015/12/01 20:06:04,2015/12/01 21:31:34,2663,4915,,,
160791,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:10,2016/03/27 17:38:10,389,2059,,,
216069,164,1,0,0,0,0,300,"varchar",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms loca_name_shelfno",0,,2019/07/14,2019/07/14,10045,4915,"",,
160857,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13946,2026,,,
160884,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,100,100,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2671,2027,,,
160827,164,0,1,9999,0,0,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2019/07/14,9061,8160,,,
160801,164,0,1,9999,0,0,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2019/07/14,632,5760,,,
160859,164,0,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13948,11896,,,
160876,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2644,2061,,,
160911,164,0,1,9999,,,85,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,6723,5750,,,
160839,164,1,0,9999,,,18,"number",0,0,0,0,0,0,0,3,3,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,10862,9761,,,
160869,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2654,2058,,,
160903,164,1,0,9999,,,90,"timestamp(6)",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2627,5599,,,
160830,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,100,100,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,9048,2027,,,
160816,164,0,0,9999,,,120,"varchar",0,0,0,0,0,0,0,20,20,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,577,4919,,,
160863,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,100,100,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,13953,2027,,,
160803,164,0,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,716,2025,,,
160794,164,1,0,9999,,,132,"number",0,6,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,422,2065,,,
160849,164,0,0,9999,,,120,"varchar",0,0,0,0,0,0,0,20,20,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13937,11888,,,
160906,164,1,0,9999,,,90,"timestamp(6)",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2622,5598,,,
160889,164,0,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,5847,4913,,,
160887,164,1,0,8888,116,1,132,"number",0,0,0,0,1,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2624,5593,,,
160787,164,1,0,9999,,,132,"number",18,2,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:10,2016/03/27 17:38:10,889,7329,,,
160907,164,1,0,9999,,,85,"varchar",0,0,0,0,0,0,0,40,40,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2633,5597,,,
160788,164,1,1,9999,,,132,"number",0,0,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:10,2016/03/27 17:38:10,895,5031,,,
186315,164,0,0,9999,,,90,"date",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/07/04 23:06:14,2016/07/04 23:06:14,15965,2030,,,
160832,164,1,0,9999,,,6,"char",0,0,0,0,0,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,10122,8903,,,
160823,164,1,0,9999,,,6,"char",0,0,0,0,0,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,7162,12240,,,
160888,164,1,1,9999,,,132,"number",0,0,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2669,422,,,
160845,164,0,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13927,11887,,,
160813,164,0,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,424,4916,,,
160879,164,1,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,5852,2052,,,
160817,164,0,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,538,4920,,,
160885,164,1,0,1141,114,1,132,"number",0,0,1,0,1,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2016/03/27 17:38:12,2016/06/25 17:08:51,2621,5590,,,"undefined"
160777,164,1,0,9999,,,132,"number",0,0,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:10,2016/03/27 17:38:10,15345,1001,,,
160800,164,0,1,9999,0,0,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2019/07/14,2504,2052,,,
216072,164,1,0,0,0,0,68,"number",3,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms opeitm_autoact_p",0,,2019/07/14,2019/07/14,16288,2404,"",,
160892,164,0,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2656,4916,,,
160901,164,1,0,8888,130,1,90,"date",0,0,0,0,1,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2632,5595,,,
216064,164,1,0,0,0,0,182,"number",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms opeitm_consumunitqty",0,,2019/07/14,2019/07/14,17125,15145,"",,
160851,164,0,0,9999,,,0,"number",7,2,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13939,11893,,,
160877,164,1,0,9999,,,132,"number",0,0,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,13521,7002,,,
160886,164,1,0,8888,115,1,132,"number",0,0,1,0,1,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2016/03/27 17:38:12,2016/06/25 17:08:24,3289,5591,,,"undefined"
160806,164,1,0,9999,,,30,"varchar",0,0,0,0,0,0,0,5,5,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,7163,0,,,
216081,164,1,0,0,0,0,300,"varchar",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms loca_remark",0,,2019/07/14,2019/07/14,2665,4925,"",,
160847,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,100,100,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13955,11908,,,
