"id","screens_id","selection","hideflg","seqno","rowpos","colpos","width","type","dataprecision","datascale","indisp","editable","maxvalue","minvalue","edoptsize","edoptmaxlength","edoptrow","edoptcols","edoptvalue","sumkey","crtfield","expiredate","remark","persons_id_upd","update_ip","created_at","updated_at","pobjects_id_sfd","tblfields_id","paragraph","formatter","contents","subindisp"
301481,29,0,0,300,0,0,300,varchar,0,0,0,0,0,0,0,50,0,0,"0",,itm,2099-12-31,auto add otherview  screenfield --->r_shpinsts itm_model,0,,2021-03-28 14:23:35,2021-03-28 14:23:35,389,2059,"",,,""
228097,2429,1,0,800,0,0,100,varchar,0,0,0,1,0,0,0,4000,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2020-01-10 18:54:56,2020-01-10 18:54:56,18528,100586,"","",,""
228098,2429,1,0,9990,0,0,100,timestamp(6),0,0,0,0,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2020-01-10 18:54:56,2020-01-10 18:54:56,18529,100587,"","",,""
301482,29,1,0,150,0,0,100,varchar,0,0,0,0,0,0,0,50,0,0,"0",,itm,2099-12-31,auto add otherview  screenfield --->r_shpinsts classlist_code,0,,2021-03-28 14:23:35,2021-03-28 14:23:35,12221,11042,"","",,""
228099,2429,1,0,9990,0,0,100,varchar,0,0,0,0,0,0,0,40,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2020-01-10 18:54:56,2020-01-10 18:54:56,18530,100588,"","",,""
228100,2429,1,0,200,0,0,100,date,0,0,0,1,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2020-01-10 18:54:56,2020-01-10 18:54:56,18726,100671,"","",,""
228101,2429,1,0,9990,0,0,100,timestamp(6),0,0,0,0,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2020-01-10 18:54:56,2020-01-10 18:54:56,18531,100589,"","",,""
228102,2429,1,1,9990,0,0,100,numeric,38,0,0,0,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2020-01-10 18:54:56,2020-01-10 18:54:56,3973,100581,"","",,""
228103,2429,1,1,9990,0,0,100,numeric,38,0,0,0,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2020-01-10 18:54:56,2020-01-10 18:54:56,18532,100581,"","",,""
228104,2429,1,1,9990,0,0,100,numeric,38,0,0,0,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2020-01-10 18:54:56,2020-01-10 18:54:56,18533,100584,"","",,""
228105,2429,1,0,800,0,0,100,varchar,0,0,0,1,0,0,0,4000,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2020-01-10 18:54:56,2020-01-10 18:54:56,18534,100585,"","",,""
303556,1903,1,1,9990,0,0,120,numeric,38,0,0,0,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2021-03-28 14:45:35,2021-03-28 14:45:35,3973,698,"","",,""
303557,1903,1,1,9990,0,0,120,numeric,38,0,0,0,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2021-03-28 14:45:35,2021-03-28 14:45:35,15046,698,"","",,""
303558,1903,1,1,9990,0,0,120,numeric,38,0,1,0,0,0,0,22,0,0,"0",,,2099-12-31, 検索項目の入力を忘れずに,0,,2021-03-28 14:45:36,2021-03-28 14:45:36,15053,705,"","",,""
303559,1903,1,1,9990,0,0,120,numeric,38,0,1,0,0,0,0,38,0,0,"0",,,2099-12-31, 検索項目の入力を忘れずに,0,,2021-03-28 14:45:36,2021-03-28 14:45:36,15061,719,"","",,""
303560,1903,1,0,200,0,0,120,date,0,0,0,1,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2021-03-28 14:45:36,2021-03-28 14:45:36,15048,700,"","",,""
303561,1903,1,0,9990,0,0,120,varchar,0,0,0,0,0,0,0,40,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2021-03-28 14:45:36,2021-03-28 14:45:36,15049,701,"","",,""
303562,1903,1,0,9990,0,0,120,timestamp(6),0,0,0,0,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2021-03-28 14:45:36,2021-03-28 14:45:36,15050,702,"","",,""
303563,1903,1,0,9990,0,0,120,timestamp(6),0,0,0,0,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2021-03-28 14:45:36,2021-03-28 14:45:36,15051,703,"","",,""
303564,1903,1,1,9990,0,0,120,numeric,38,0,0,0,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2021-03-28 14:45:36,2021-03-28 14:45:36,15052,704,"","",,""
303565,1903,1,0,200,0,0,120,numeric,22,6,0,1,0,0,0,22,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2021-03-28 14:45:36,2021-03-28 14:45:36,15054,706,"","",,""
303566,1903,1,0,100,0,0,120,varchar,0,0,0,1,0,0,0,40,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2021-03-28 14:45:36,2021-03-28 14:45:36,15055,707,"","",,""
303567,1903,1,0,200,0,0,120,timestamp(6),0,0,0,1,0,0,0,0,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2021-03-28 14:45:36,2021-03-28 14:45:36,15056,708,"","",,""
223152,2424,,0,800,0,0,100,varchar,0,0,0,1,0,0,0,4000,0,0,"0",,,2099-12-31,auto add to screenfield ,0,,2019-12-18 12:27:00,2019-12-18 12:27:01,18271,100227,"","",,""
