"ID","POBJECTS_ID_TBL","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","EXPIREDATE","UPDATED_AT","SELTBLS","CONTENTS"
2580,6544,"ENV[""RACK_ENV""] == ""development""の時のみ有効",0,"127.0.0.1",2014/07/09 23:15:33.300,2099/12/31,2016/06/12 23:05:42,"undefined","一つのテーブル作成に伴って更新される、別テーブル群を登録する。テーブル　/ruby|tblink|button/　は指定できない。ENV[""RACK_ENV""] == ""development""の時のみ有効"
2621,6571,,0,,2014/07/11 13:53:36.847,2099/12/31,2014/07/11 13:53:36.847,,"元となるテーブルから、項目をもらってセット内容を示すテーブル"
2640,6761,"undefined",0,"127.0.0.1",2014/07/12 13:06:17.944,2001/01/01,2015/03/22 12:42:00.110,"undefined","使用しない。多分 2015/03/22"
2660,6802,"undefined",0,"127.0.0.1",2014/07/12 20:20:05.054,2099/12/31,2016/02/03 21:21:46,"undefined","ENV[""RACK_ENV""] == ""development""の時のみ有効"
2680,6921,,0,,2014/07/14 19:21:56.342,2099/12/31,2014/07/14 19:21:56.342,,"製造指示オーダ"
2700,7001,,0,,2014/07/16 21:11:43.789,2099/12/31,2014/07/16 21:11:43.789,,
2720,8401,,0,"127.0.0.1",2014/07/19 0:16:21.041,2099/12/31,2015/03/15 18:03:56.071,"undefined","trnganttsとxxschs作成 オリジナルのテーブルとは1:1で作成すること。(tblname,tblidは必須。)prdxxx,purxxxx,shpxxxを直接画面、excelで登録、変更する時も利用する。"
2740,7078,,0,"127.0.0.1",2014/07/19 10:48:26.783,2099/12/31,2014/07/19 10:48:26.783,,"日曜大工的ERPの使用規則"
2761,7181,"undefined",0,"127.0.0.1",2014/07/23 0:34:20.457,2099/12/31,2014/12/14 12:11:47.948,"undefined","実在庫の履歴 lotがある時はsnoにlotがセットされる。　lotでないときはzeroがsnoにセットされる。"
2762,7184,,0,"127.0.0.1",2014/07/24 23:33:02.617,2099/12/31,2014/07/24 23:33:02.617,,
2763,7188,,0,"127.0.0.1",2014/07/26 1:38:06.406,2099/12/31,2014/07/26 1:38:06.406,,
2780,7136,"undefined",0,"127.0.0.1",2014/07/26 7:12:21.256,2099/12/31,2015/11/23 12:29:52,"undefined","製造指示と検査予定"
2800,7365,"ENV[""RACK_ENV""] == ""development""の時のみ有効",0,"127.0.0.1",2014/08/05 23:03:08.262,2099/12/31,2016/06/12 23:06:11,"undefined","rubycode一式ENV[""RACK_ENV""] == ""development""の時のみ有効"
2820,7802,,0,"127.0.0.1",2014/09/14 13:10:36.772,2099/12/31,2014/09/14 13:10:36.772,,"各種基準日の日付"
2841,7928,"undefined",0,"127.0.0.1",2014/09/22 0:40:41.642,2099/12/31,2014/09/23 21:42:37.096,"undefined","受注等の状況表示と構成履歴manual=1の時はprdxxxx,purxxx,shpxxxxでも作成される。"
2860,8029,"undefined",0,"127.0.0.1",2014/09/26 21:52:09.261,2099/12/31,2015/03/14 12:46:05.644,"undefined","業者からの納期回答を想定とている。業者からの個別レイアウトを統一のこのフォーマット変換することを前提としている。"
