"BUTTONS_ID","ID","EXPIREDATE","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","UPDATED_AT","SCREENS_ID_UB","CONTENTS"
4,249,2099/12/31,,0,,,,21,
5,250,2099/12/31,,0,,,,21,
6,251,2099/12/31,,0,,,,21,
7,252,2099/12/31,,0,,,,21,
8,253,2099/12/31,,0,,,,21,
1,254,2099/12/31,,0,,,,41,
2,255,2099/12/31,,0,,,,41,
3,256,2099/12/31,,0,,,,41,
4,257,2099/12/31,,0,,,,41,
5,258,2099/12/31,,0,,,,41,
6,259,2099/12/31,,0,,,,41,
7,260,2099/12/31,,0,,,,41,
8,261,2099/12/31,,0,,,,41,
1,262,2099/12/31,,0,,,,6,
2,263,2099/12/31,,0,,,,6,
3,264,2099/12/31,,0,,,,6,
4,265,2099/12/31,,0,,,,6,
5,266,2099/12/31,,0,,,,6,
6,267,2099/12/31,,0,,,,6,
7,268,2099/12/31,,0,,,,6,
8,269,2099/12/31,,0,,,,6,
1,270,2099/12/31,,0,,,,36,
2,271,2099/12/31,,0,,,,36,
3,272,2099/12/31,,0,,,,36,
4,273,2099/12/31,,0,,,,36,
5,274,2099/12/31,,0,,,,36,
6,275,2099/12/31,,0,,,,36,
7,276,2099/12/31,,0,,,,36,
8,277,2099/12/31,,0,,,,36,
1,278,2099/12/31,,0,,,,30,
2,279,2099/12/31,,0,,,,30,
3,280,2099/12/31,,0,,,,30,
4,281,2099/12/31,,0,,,,30,
5,282,2099/12/31,,0,,,,30,
6,283,2099/12/31,,0,,,,30,
7,284,2099/12/31,,0,,,,30,
8,285,2099/12/31,,0,,,,30,
1,286,2099/12/31,,0,,,,17,
2,287,2099/12/31,,0,,,,17,
3,288,2099/12/31,,0,,,,17,
4,289,2099/12/31,,0,,,,17,
5,290,2099/12/31,,0,,,,17,
6,291,2099/12/31,,0,,,,17,
7,292,2099/12/31,,0,,,,17,
8,293,2099/12/31,,0,,,,17,
1,294,2099/12/31,,0,,,,7,
2,295,2099/12/31,,0,,,,7,
3,296,2099/12/31,,0,,,,7,
4,297,2099/12/31,,0,,,,7,
5,298,2099/12/31,,0,,,,7,
6,299,2099/12/31,,0,,,,7,
7,300,2099/12/31,,0,,,,7,
8,301,2099/12/31,,0,,,,7,
1,302,2099/12/31,,0,,,,61,
2,303,2099/12/31,,0,,,,61,
3,304,2099/12/31,,0,,,,61,
4,305,2099/12/31,,0,,,,61,
5,306,2099/12/31,,0,,,,61,
6,307,2099/12/31,,0,,,,61,
7,308,2099/12/31,,0,,,,61,
8,309,2099/12/31,,0,,,,61,
1,310,2099/12/31,,0,,,,28,
2,311,2099/12/31,,0,,,,28,
3,312,2099/12/31,,0,,,,28,
4,313,2099/12/31,,0,,,,28,
5,314,2099/12/31,,0,,,,28,
6,315,2099/12/31,,0,,,,28,
7,316,2099/12/31,,0,,,,28,
1,318,2099/12/31,,0,,,,22,
2,319,2099/12/31,,0,,,,22,
3,320,2099/12/31,,0,,,,22,
4,321,2099/12/31,,0,,,,22,
5,322,2099/12/31,,0,,,,22,
6,323,2099/12/31,,0,,,,22,
7,324,2099/12/31,,0,,,,22,
8,325,2099/12/31,,0,,,,22,
1,326,2099/12/31,,0,,,,18,
2,327,2099/12/31,,0,,,,18,
3,328,2099/12/31,,0,,,,18,
4,329,2099/12/31,,0,,,,18,
5,330,2099/12/31,,0,,,,18,
6,331,2099/12/31,,0,,,,18,
7,332,2099/12/31,,0,,,,18,
8,333,2099/12/31,,0,,,,18,
1,342,2099/12/31,,0,,,,10,
2,343,2099/12/31,,0,,,,10,
2,1765,2099/12/31,,0,,2013/12/08 20:03:38,2013/12/08 20:03:38,281,
3,1768,2099/12/31,,0,,2013/12/08 20:07:49,2013/12/08 20:07:49,281,
102,1770,2099/12/31,,0,,2013/12/08 20:29:55,2013/12/08 20:29:55,6,
102,1771,2099/12/31,,0,,2013/12/08 20:31:46,2013/12/08 20:31:46,27,
141,1781,2099/12/31,,0,,2013/12/09 19:53:33,2013/12/09 19:53:33,101,
2,1830,2099/12/31,,0,,2013/12/22 19:15:21.015,2013/12/22 19:15:21.015,307,
5,1834,2099/12/31,,0,,2013/12/22 19:44:16.346,2013/12/22 19:44:16.346,307,
3,1852,2099/12/31,,0,,2014/01/02 21:24:04.840,2014/01/02 21:24:04.840,307,
5,1863,2099/12/31,,0,,2014/01/03 15:52:21.135,2014/01/03 15:52:21.135,281,
1,1864,2099/12/31,,0,,2014/01/03 15:53:50.716,2014/01/03 15:53:50.716,307,
4,1866,2099/12/31,,0,,2014/01/03 16:38:25.567,2014/01/03 16:38:25.567,281,
4,1881,2099/12/31,,0,,2014/01/04 20:26:45.337,2014/01/04 20:26:45.337,11,
4,1882,2099/12/31,,0,,2014/01/04 20:29:34.284,2014/01/04 20:29:34.284,307,
1,1901,2099/12/31,,0,,2014/01/12 11:08:46.506,2014/01/12 11:08:46.506,281,
6,1921,2099/12/31,,0,,2014/01/12 16:29:05.464,2014/01/12 16:29:05.464,307,
7,1922,2099/12/31,,0,,2014/01/12 17:43:10.645,2014/01/12 17:43:10.645,307,
8,1941,2099/12/31,,0,,2014/04/13 1:11:19.351,2014/04/13 1:11:19.351,28,
161,1943,2099/12/31,,0,,2014/04/13 1:16:09.463,2014/04/13 1:16:09.463,28,
1,1961,2099/12/31,,0,,2014/06/18 20:10:13.446,2014/06/18 20:10:13.446,421,
2,1962,2099/12/31,,0,,2014/06/18 20:10:22.479,2014/06/18 20:10:22.479,421,
3,1963,2099/12/31,,0,,2014/06/18 20:10:30.560,2014/06/18 20:10:30.560,421,
4,1964,2099/12/31,,0,,2014/06/18 20:10:38.705,2014/06/18 20:10:38.705,421,
5,1965,2099/12/31,,0,,2014/06/18 20:10:47.420,2014/06/18 20:10:47.420,421,
2,1981,2099/12/31,,0,,2014/06/21 17:55:42.558,2014/06/21 17:55:42.558,501,
3,1982,2099/12/31,,0,,2014/06/21 17:55:50.692,2014/06/21 17:55:50.692,501,
4,1983,2099/12/31,,0,,2014/06/21 17:55:57.878,2014/06/21 17:55:57.878,501,
6,1985,2099/12/31,,0,,2014/06/21 17:56:15.084,2014/06/21 17:56:15.084,501,
7,1986,2099/12/31,,0,,2014/06/21 17:56:24.413,2014/06/21 17:56:24.413,501,
2,2001,2099/12/31,,0,,2014/06/22 20:37:51.768,2014/06/22 20:46:08.146,521,
7,2004,2099/12/31,,0,,2014/06/22 20:38:35.618,2014/06/22 20:50:17.880,521,
8,2005,2099/12/31,,0,,2014/06/22 20:38:48.837,2014/06/22 20:48:28.513,521,
3,2007,2099/12/31,,0,,2014/06/22 20:51:12.844,2014/06/22 20:51:12.844,521,
3,2022,2099/12/31,,0,,2014/06/29 1:26:25.359,2014/06/29 1:26:25.359,26,
