"ID","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","EXPIREDATE","UPDATED_AT","CODE","CONTENTS","OBJECTTYPE"
413,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_edoptsize",,"view_field"
414,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobjgrp_pobject_id",,"view_field"
417,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"cust_updated_at",,"view_field"
418,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_zip_custs",,"view_field"
419,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"button_screen_id",,"view_field"
420,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"button_icon",,"view_field"
421,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"usergroup_expiredate",,"view_field"
422,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_deth",,"view_field"
423,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_id",,"view_field"
424,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_abbr",,"view_field"
425,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_created_at",,"view_field"
428,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"person_code_chrg",,"view_field"
429,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_name",,"view_field"
430,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"unit_person_id_upd",,"view_field"
431,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_updated_at",,"view_field"
432,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"unit_created_at",,"view_field"
433,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_updated_at",,"view_field"
435,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"usergroup_code_chrg",,"view_field"
436,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"unit_updated_at",,"view_field"
437,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_name_custs",,"view_field"
438,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_expiredate",,"view_field"
439,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_person_id_upd",,"view_field"
440,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_design",,"view_field"
442,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"currency_person_id_upd",,"view_field"
443,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"cust_custtype",,"view_field"
444,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_code_custs",,"view_field"
445,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobjgrp_remark",,"view_field"
446,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_addr2",,"view_field"
447,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_remark",,"view_field"
450,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobjgrp_usergroup_id",,"view_field"
451,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_std",,"view_field"
452,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"currency_created_at",,"view_field"
453,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"usergroup_created_at",,"view_field"
456,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"usergroup_name_upd",,"view_field"
457,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"unit_remark",,"view_field"
458,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_dataprecision",,"view_field"
459,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_remark_custs",,"view_field"
460,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/11 16:10:46,"itm_code",,"view_field"
461,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_country_billings",,"view_field"
463,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"usergroup_update_ip",,"view_field"
464,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_paragraph",,"view_field"
466,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"person_email_chrg",,"view_field"
469,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_rowpos",,"view_field"
470,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_expiredate",,"view_field"
471,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_rubycode",,"view_field"
472,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_packqty",,"view_field"
